Convert Id,Lead ID,Company ID,Customer ID,Deal ID,Lead Creation Date,Converted Time,Converted By Id
zcrm_1920545000000495023,zcrm_1920545000000495001,zcrm_1920545000000495005,zcrm_1920545000000495007,zcrm_1920545000000495009,2016-12-02 16:14:55,2016-12-02 16:15:40,zcrm_1920545000000240001
zcrm_1920545000000495047,zcrm_1920545000000495025,zcrm_1920545000000495029,zcrm_1920545000000495031,zcrm_1920545000000495033,2016-12-02 16:20:56,2016-12-02 19:11:37,zcrm_1920545000000240001
zcrm_1920545000000495071,zcrm_1920545000000495049,zcrm_1920545000000495053,zcrm_1920545000000495055,zcrm_1920545000000495057,2016-12-02 19:20:54,2016-12-02 19:21:59,zcrm_1920545000000240001
zcrm_1920545000000500075,zcrm_1920545000000459073,zcrm_1920545000000500057,zcrm_1920545000000500059,zcrm_1920545000000500061,2016-11-01 19:15:11,2016-12-07 15:10:40,zcrm_1920545000000366006
zcrm_1920545000000501023,zcrm_1920545000000501001,zcrm_1920545000000501005,zcrm_1920545000000501007,zcrm_1920545000000501009,2016-12-07 13:56:06,2016-12-07 13:56:49,zcrm_1920545000000240001
zcrm_1920545000000504023,zcrm_1920545000000504001,zcrm_1920545000000504005,zcrm_1920545000000504007,zcrm_1920545000000504009,2016-12-08 20:37:25,2016-12-08 20:39:30,zcrm_1920545000000240001
zcrm_1920545000000504047,zcrm_1920545000000504025,zcrm_1920545000000504029,zcrm_1920545000000504031,zcrm_1920545000000504033,2016-12-08 20:43:21,2016-12-08 20:43:47,zcrm_1920545000000240001
zcrm_1920545000000507023,zcrm_1920545000000507001,zcrm_1920545000000507005,zcrm_1920545000000507007,zcrm_1920545000000507009,2016-12-12 05:45:19,2016-12-12 05:46:42,zcrm_1920545000000243011
zcrm_1920545000000507047,zcrm_1920545000000507025,zcrm_1920545000000507029,zcrm_1920545000000507031,zcrm_1920545000000507033,2016-12-12 05:53:35,2016-12-12 05:54:35,zcrm_1920545000000243011
zcrm_1920545000000511023,zcrm_1920545000000511001,zcrm_1920545000000511005,zcrm_1920545000000511007,zcrm_1920545000000511009,2016-12-13 13:40:44,2016-12-13 13:41:10,zcrm_1920545000000240001
zcrm_1920545000000514019,zcrm_1920545000000512001,zcrm_1920545000000514001,zcrm_1920545000000514003,zcrm_1920545000000514005,2016-12-13 15:44:03,2016-12-14 18:19:18,zcrm_1920545000000366006
zcrm_1920545000000518025,zcrm_1920545000000459053,zcrm_1920545000000518007,zcrm_1920545000000518009,zcrm_1920545000000518011,2016-11-01 17:46:34,2016-12-15 18:41:16,zcrm_1920545000000366006
zcrm_1920545000000521023,zcrm_1920545000000521001,zcrm_1920545000000521005,zcrm_1920545000000521007,zcrm_1920545000000521009,2016-12-16 23:06:54,2016-12-16 23:07:47,zcrm_1920545000000240001
zcrm_1920545000000521047,zcrm_1920545000000521025,zcrm_1920545000000521029,zcrm_1920545000000521031,zcrm_1920545000000521033,2016-12-16 23:12:01,2016-12-16 23:12:34,zcrm_1920545000000240001
zcrm_1920545000000530023,zcrm_1920545000000520011,zcrm_1920545000000530005,zcrm_1920545000000530007,zcrm_1920545000000530009,2016-12-16 19:55:31,2017-01-02 13:42:52,zcrm_1920545000000366006
zcrm_1920545000000535023,zcrm_1920545000000535001,zcrm_1920545000000535005,zcrm_1920545000000535007,zcrm_1920545000000535009,2017-01-03 16:23:13,2017-01-03 16:23:53,zcrm_1920545000000240001
zcrm_1920545000000535047,zcrm_1920545000000535025,zcrm_1920545000000535029,zcrm_1920545000000535031,zcrm_1920545000000535033,2017-01-03 16:28:54,2017-01-03 16:29:34,zcrm_1920545000000240001
zcrm_1920545000000551023,zcrm_1920545000000558094,zcrm_1920545000000551005,zcrm_1920545000000551007,zcrm_1920545000000551009,2017-01-18 14:34:59,2017-01-18 19:29:38,zcrm_1920545000000511027
zcrm_1920545000000555023,zcrm_1920545000000555001,zcrm_1920545000000555005,zcrm_1920545000000555007,zcrm_1920545000000555009,2017-01-17 13:23:28,2017-01-17 13:24:07,zcrm_1920545000000240001
zcrm_1920545000000555047,zcrm_1920545000000555025,zcrm_1920545000000555029,zcrm_1920545000000555031,zcrm_1920545000000555033,2017-01-17 13:38:58,2017-01-17 13:40:26,zcrm_1920545000000240001
zcrm_1920545000000557023,zcrm_1920545000000557001,zcrm_1920545000000557005,zcrm_1920545000000557007,zcrm_1920545000000557009,2017-01-18 14:17:02,2017-01-18 14:17:34,zcrm_1920545000000240001
zcrm_1920545000000592047,zcrm_1920545000000592025,zcrm_1920545000000592029,zcrm_1920545000000592031,zcrm_1920545000000592033,2017-02-07 19:18:00,2017-02-07 19:18:24,zcrm_1920545000000240001
