Company_Name,Category,Address,Url,Latitude,Longitude,Territory
King's Gym,Fitness center,"Reshep Dhura, Mangpoo, West Bengal 734313, India",https://www.google.co.kr/maps/place/King's+Gym/data=!4m5!3m4!1s0x39e43b6d5b2ee837:0x2e6e3f16232b630c!8m2!3d26.972265!4d88.3671973?authuser=0&hl=en&rclk=1,26.972265,88.3671973,Sikkim
Fitness First,Gym,"Rishi Rd, Mirik, West Bengal 734214, India",https://www.google.co.kr/maps/place/Fitness+First/data=!4m5!3m4!1s0x39e4334447794c03:0xff3ba8f17acc6af3!8m2!3d26.8955538!4d88.181133?authuser=0&hl=en&rclk=1,26.8955538,88.181133,Sikkim
Himalayan Gym Panchanadi,Fitness center,"2nd INDIA RESERVE BATTALION HEAD QUARTER, Pintail Village, road, near gyan jyoti more, Dagapur, Siliguri, West Bengal 734010, India",https://www.google.co.kr/maps/place/Himalayan+Gym+Panchanadi/data=!4m5!3m4!1s0x39e4473216cb44a1:0xa34409a5c6b30534!8m2!3d26.746696!4d88.3936642?authuser=0&hl=en&rclk=1,26.746696,88.3936642,Sikkim
Himalayan Gym,Gym,"BYEPASS MORE Ward No 1, Mirik, West Bengal 734214, India",https://www.google.co.kr/maps/place/Himalayan+Gym/data=!4m5!3m4!1s0x39e43355420f20a7:0x24a0590596b1c5c3!8m2!3d26.8949947!4d88.1785819?authuser=0&hl=en&rclk=1,26.8949947,88.1785819,Sikkim
Fitmosphere Gym and Fitness,Gym,"Mirik Bazar, near Zinlab Electronics, Mirik, West Bengal 734214, India",https://www.google.co.kr/maps/place/Fitmosphere+Gym+and+Fitness/data=!4m5!3m4!1s0x39e433f0c67a758f:0xa11d0d88a34131d2!8m2!3d26.8948536!4d88.1811915?authuser=0&hl=en&rclk=1,26.8948536,88.1811915,Sikkim
Sumitra Yogashala,Yoga studio,"Penang Building Rooftop Near Rink Mall, 38, Laden la Rd, Darjeeling, West Bengal 734101, India",https://www.google.co.kr/maps/place/Sumitra+Yogashala/data=!4m5!3m4!1s0x39e42f3e2ff583d1:0x887be78a36ca7284!8m2!3d27.0396459!4d88.265393?authuser=0&hl=en&rclk=1,27.0396459,88.265393,Sikkim
"CROSSFIT GYM FITNESS CENTRE (Panitanki More, Sevoke Road)",Fitness center,"Panitanki More, Sevoke Road Near State Bank Of India, Siliguri, West Bengal 734001, India","https://www.google.co.kr/maps/place/CROSSFIT+GYM+FITNESS+CENTRE+(Panitanki+More,+Sevoke+Road)/data=!4m5!3m4!1s0x39e44113b8b273b3:0x6bf3d2507834d88f!8m2!3d26.7219718!4d88.427147?authuser=0&hl=en&rclk=1",26.7219718,88.427147,Sikkim
Gold's Gym Siliguri,Fitness center,"Infinity Square, 3rd, Sevoke Rd, Near Cosmos Mall, 2nd Mile, Siliguri, West Bengal 734001, India",https://www.google.co.kr/maps/place/Gold's+Gym+Siliguri/data=!4m5!3m4!1s0x39e440fdff6ad829:0x9e7704eecd326974!8m2!3d26.741147!4d88.435324?authuser=0&hl=en&rclk=1,26.741147,88.435324,Sikkim
Kingfisher River Rafting,Adventure sports,"National Highway 10, Kalimpong Dansong Forest, 737128, India",https://www.google.co.kr/maps/place/Kingfisher+River+Rafting/data=!4m5!3m4!1s0x39e421eaf593c329:0xbf31df0cafe16755!8m2!3d27.0924733!4d88.46179?authuser=0&hl=en&rclk=1,27.0924733,88.46179,Sikkim
Gold's gym,Gym,"4th Mahananda Bridge, Ward 4, Mahananda Para, Siliguri, West Bengal 734001, India",https://www.google.co.kr/maps/place/Gold's+gym/data=!4m5!3m4!1s0x39e4412d1c931b03:0x8acd6847362b2984!8m2!3d26.7122538!4d88.411455?authuser=0&hl=en&rclk=1,26.7122538,88.411455,Sikkim
